author,updated_at,like_count,text,public
@JoshHandler-bu1dt,2024-05-29T22:13:23Z,0,"Have to admit, just saw this.  I love Jeffrey Wright, but just never had desire to see it.  Totally regret, as I've watched it 3x now.  Very well written, well acted, love the stereotypes, innuendos, etc.  I'm not a fan of Ross, but she was very good in her small part and Brown can make a grown man cry.  Wright should of one the Oscar for this, it is one of his best.  Very intelligent, highly recommended.",True
@alexadam353,2024-05-29T20:04:05Z,0,This movie was Really GOOD!,True
@BbMk-fy8iq,2024-05-27T15:17:42Z,0,Eladir bura ❤,True
@AytacAbilova-jb7qw,2024-05-27T15:14:41Z,0,Merhaba hic quzel diyil,True
@maximpopov8651,2024-05-27T14:47:47Z,0,Nice movie ☮️,True
@erdebilosmanov9502,2024-05-27T14:44:05Z,0,Bu aktyorlar çox gözəl rol aparırlar,True
@yasarzimov3127,2024-05-27T14:23:40Z,0,Cox əla,True
@sessizcoc5414,2024-05-27T13:07:50Z,0,super,True
@memedoffv,2024-05-27T10:45:51Z,0,Super 🎉🎉🎉,True
@OrxanCebiyev-cu8ol,2024-05-27T09:05:34Z,0,Cox gozel filmdir elaa,True
@togrulagayev7914,2024-05-27T08:48:28Z,0,"Mükəmməl bir filimdir, çox dəqiqliklə çəkilib maraqlıdır.
Teatr çox gözəl oynanılıb, sadəcə möhtəşəm.",True
@rsadsimpson4500,2024-05-27T08:35:48Z,0,Eladı,True
@ElmddinZulfuqarov,2024-05-27T07:54:25Z,0,Incredble,True
@aykhan7726,2024-05-27T06:51:52Z,0,Super film,True
@lmdaribadov2391,2024-05-26T17:35:02Z,0,Super filimdi fraqman qısa olsada maraqlıdı her kese məsləhət görürəm baxmaqi❤,True
@qorxmazsuleymanl,2024-05-26T17:33:49Z,0,Maraqlı və əyləncəli bir vaxt kecirmək üçün bu filmi mütləq izləyin,True
@nailartvefa932,2024-05-26T17:21:23Z,1,Saw this last night and LOVED IT!! The whole theatre was cracking up at the insanity of where we're at in society that this is reality.,True
@user-ec9qm6tk5o,2024-05-26T17:11:21Z,0,Çox gözəl film❤,True
@muradbaba176,2024-05-26T16:35:34Z,0,AMERICAN FICTION is Cord Jefferson's hilarious,True
@Aristokrat611,2024-05-26T16:32:52Z,0,Gozelllll,True
@MehdiMemedov-rp1sr,2024-05-26T16:22:03Z,0,İzləməy dəyər 😊,True
@MehdiNagzad-qs8pl,2024-05-26T16:16:07Z,0,It's a very nice movie. It's amazing. The actors play very well👍👍,True
@sabirquliyev5579,2024-05-26T16:15:00Z,0,👍🏼👍🏼 eladi superdii,True
@RovsnSuleymanov-xf7mr,2024-05-26T16:14:28Z,0,Çox gözəl bir filimdi çox gözəldir,True
@omerseferov-hk4ex,2024-05-26T16:13:30Z,0,çox gözəl,True
@user-ex5jk3pv1l,2024-05-26T16:12:27Z,0,Məncə gozəl filmə oxsayir. Və bu fraqmanda bu fikirlerimi dogruluyur.,True
@Hasanov_amil,2024-05-26T16:11:35Z,0,çox gozel baxmaga deyer meslehet gorurem,True
@altunlsgrov8613,2024-05-26T16:07:38Z,0,Əla izlənilməsi bir videodur xoşa gelendir,True
@farizeyvazov765,2024-05-26T16:03:54Z,0,Eli bir filmdi maraqlidi  aksiyonsuz filmdi,True
@heydrbdlbyli4050,2024-05-26T16:03:53Z,0,Bu həqiqətən də çox gözəl bir filmdir,True
@igocoin4938,2024-05-26T15:52:17Z,0,Very good,True
@RoyalAbisov-lw6hp,2024-05-26T15:50:26Z,0,Novbəti filmləri gozləyirik,True
@orxanimanov2788,2024-05-26T15:37:38Z,0,Super,True
@MrTarotti11,2024-05-26T15:34:56Z,0,Famous,True
@NamazovaNarmin,2024-05-26T15:32:36Z,0,Ela cox sevdim .... super otesi,True
@NamazovaNarmin,2024-05-26T15:31:57Z,0,Mukemmel film,True
@user-xj2wq1sb7d,2024-05-26T15:31:55Z,0,Ela filimdir☺️,True
@MubarizAbayev-in9gg,2024-05-26T15:23:38Z,0,Biraz komik möhtəşəm bir kino filim,True
@doncorleone5063,2024-05-26T15:22:15Z,1,Mohtesem flimidi beyendim,True
@mmmdyrv.1755,2024-05-26T15:21:43Z,0,❤❤,True
@bodymotivationaz,2024-05-26T15:21:40Z,0,Çox möhteşem,True
@asifmirisov6014,2024-05-26T15:20:29Z,0,Çox gözəldir!,True
@SunayRufullayeva,2024-05-26T15:12:41Z,0,Ela filimdi,True
@SadayAbbasov-tc7qc,2024-05-26T15:11:23Z,0,It is worth watching a very nice movie. Excellent success,True
@HH-vh9qt,2024-05-26T15:09:42Z,0,Perfect👍👍👍👍,True
@NatavanKazmova,2024-05-26T15:09:18Z,0,Mükəmməl həqiqətəndə gözəl filmdir,True
@israfilzadeferid,2024-05-26T15:08:47Z,0,Ela bir kinodur maraqlidir baxmaqi tovsiye edirem,True
@qaratelabdiyeva189,2024-05-26T15:08:43Z,0,❤,True
@MubarizAbayev-in9gg,2024-05-26T15:07:45Z,0,Səbirsizliklə gözləyirəm,True
@MurikMamedov,2024-05-26T15:07:10Z,0,very interesting and beautiful broadcast. i advice everyone to watch it,True
@NicatQurbanov-pw4lc,2024-05-26T15:06:53Z,0,Uğurlar🖤,True
@ismailisayev3200,2024-05-26T15:06:47Z,0,İsdirahət günlərimdə teatra gedrəm bu filimə maraqla baxram əlla super,True
@muradveliyev2217,2024-05-26T15:06:34Z,0,Cox maraqli filmdir tovsiyye edirem,True
@elshadnarimanov,2024-05-26T15:06:32Z,0,Əla,True
@Kainat-Dunya.,2024-05-26T15:06:30Z,0,"Superdi gözəl bir filimidi əladı,👍",True
@alone_tigerbekdemirov6068,2024-05-26T15:05:37Z,0,Sadece əhsən 👍,True
@user-ld8vv6bg5r,2024-05-26T15:05:15Z,0,Maraqlidi tam versiyani tapib baxmaq lazim,True
@liBaxseliyev,2024-05-26T15:04:48Z,0,Çox gözəl filmdir mən çox bəyəndim.əlaa,True
@user-np7fp7jv6m,2024-05-26T15:04:42Z,0,Ela filmdi oyunçular çox bacarıqlıdır👍,True
@zaurceferov4176,2024-05-26T15:03:38Z,0,Cox gozel,True
@RubabeSalayeva-qo9dh,2024-05-26T15:03:38Z,1,Soper  menim çox qoşoma geldi,True
@GunduzMeherremov-up6we,2024-05-26T15:03:19Z,0,Maraqlıdır əla.,True
@NamazovaNarmin,2024-05-26T15:02:32Z,0,"Gozel film, gozel aktyorlar, ela....",True
@ehtirammmmdov9749,2024-05-26T15:02:29Z,0,Such a great movie.!!This dude is a legend 🤌,True
@Kama_Com,2024-05-26T15:02:20Z,0,Cox sevdim bunu😊,True
@XursudAdgozlov,2024-05-26T15:02:19Z,0,Marağlı gəldi,True
@axundov01,2024-05-26T15:02:13Z,0,Əla filmdi super möhtəşəm klas,True
@orxanosmanli6734,2024-05-26T15:02:09Z,0,Qeseng,True
@Zeyno.011,2024-05-26T15:01:41Z,0,It is soo good❤vauuu,True
@FatimeKerimova020,2024-05-26T15:01:25Z,0,Filim ve teatir mohtewemdi,True
@revan1789,2024-05-26T15:00:48Z,0,I think everyone should watch this movie,True
@elnurtagizad3,2024-05-26T15:00:41Z,0,Möhtəşəm gözəl qəsənəg əla bir iş,True
@_efqan_o1baqirov782,2024-05-26T15:00:40Z,0,Super,True
@Narutomaniamanga,2024-05-26T15:00:39Z,0,Çooox zövq aldım nə gözəl reklamdı,True
@ElcinIbadov-bg9os,2024-05-26T15:00:06Z,0,Çox əladır  gozeldi,True
@vuqaraliyev1122,2024-05-26T15:00:00Z,0,"Cox maraqlidir baxacam, amma popkornda lazım film əla",True
@KananSahvernof,2024-05-26T14:59:23Z,0,Çox qəşəng di,True
@whs-waterfox7034,2024-05-23T17:55:21Z,0,I hoped this movie would be good just because I've loved that song since I was a kid.,True
@Enigma0111,2024-05-23T04:34:47Z,0,This dude is a legend.,True
@shalawnmayfield1116,2024-05-22T21:19:11Z,0,Such a great movie!!!,True
@yoshin1666,2024-05-22T21:17:17Z,0,This movie was so good,True
@Sam-ef3bj,2024-05-17T23:50:58Z,0,"Excellent, excellent movie.",True
@MadDawg1960,2024-05-16T23:16:23Z,0,Best satirical movie since Being There. 😅,True
@Blank-jt3nj,2024-05-16T19:55:39Z,1,Is this the greatest movie of all time 😂,True
@rodgerq,2024-05-15T19:38:54Z,1,Jeffrey Wright is such an underrated actor. Really excellent! Amazing in WW,True
@jcextranow,2024-05-14T23:46:56Z,0,Someone might be suffering an identity crisis in the movie it seems like but at least he became what they wanted him to become in order to gain success. Sometimes you have to change what you originally think might be appealing in order to become sought after.,True
@Lolo1130,2024-05-14T22:49:57Z,1,"Im only 1/4th through it, and ALREADY I'm raving to friends & family!!",True
@paulines581,2024-05-06T09:05:56Z,1,An absolute gem of a movie. Could not stop laughing and feeling a bit sad. For black writers everywhere who struggle to get readership and acceptance for their authentic black diasporan/black African/ African writing and staying true to whichever art speaks to them in its truest form trying to elevate it. 👏 Bravo.,True
@easportssucks4347,2024-05-02T21:15:20Z,0,"I'm not sure what surprises me more, the return of blacksploitation, or the fact that supposed SJWs embrace it so much.",True
@RFellows1988,2024-04-30T15:20:32Z,0,I can feel the fury of this character. Looks like a good flick.,True
@workingTchr,2024-04-28T17:16:18Z,1,"In addition to the Black/White dichotomy chronicled in this story, there is also a deeper Smart/Dumb dichotomy that isn't chronicled but that is just as relevant to the professor's dilemma.  Being extra smart, even if the Black/White distinction were eliminated, he would still not feel at home in our society.",True
@naomilives414,2024-04-28T02:38:08Z,0,I want to watch bc it looks like a great cast. However I want something light hearted and funny and not something that’s going to make me mad bc there’s truth to it.,True
@luissandman6114,2024-04-27T04:13:15Z,0,Phenomenal movie !!!!!!!,True
@tonystark3462,2024-04-25T21:45:06Z,0,Its a must watch!! I watched on  on a Plane!! Its a must watch for smart MEN of all races !!,True
@ComicSeat,2024-04-24T12:41:41Z,0,"This is such a great movie! Enjoyed very bit of it great cast with topical narrative that was not to cheesy or cringely over done!! A must watch if you are in the mood for some feel good greatly written, shot and acted movie!",True
@TheMst85,2024-04-22T21:27:05Z,1,HMMMMM....,True
@VentureCapitalist202,2024-04-22T00:34:02Z,0,I love this Movie,True
@platogenova9573,2024-04-21T01:14:29Z,0,"He’s such a wise intelligent black man, white people can’t understand him",True
@jasonmccabe811,2024-04-19T01:41:58Z,1,Absolutely fantastic movie,True
@Shay31288,2024-04-16T14:09:10Z,0,The irony of having Issa be the author and her reading that trash when she in real life isn’t too far from her portrayal here. 😅 Idiosyncrasy. Don’t come for me.,True
@kinganondorf,2024-04-16T04:16:10Z,0,jesus christ even im cringing from the guy's cringing of lying to/about himself,True
@XfaN888,2024-04-15T16:17:25Z,0,so family guy brians book episode xd,True
@sterlthepearl1000,2024-04-14T16:40:55Z,0,"Life is a tragedy to those who feel, and a comedy to those who think.",True
@michaelspaccarelli2342,2024-04-12T17:38:55Z,0,"Looks,funny and done intelligently",True
@iamdonnie2164,2024-04-12T03:14:43Z,0,yall i hated the ending,True
@Guillermo_Carratero,2024-04-09T14:34:25Z,0,One of the best movies I saw in a looooong while!!,True
@empowerusnow,2024-04-05T23:31:17Z,0,The moral of the story and the case+point of the film are both in the Oscar win... I hope we catch that... ❤,True
@jokotri2186,2024-04-05T00:22:41Z,0,"Just watched last night, this movie is hilarious. I'm still giggling thinking about it",True
@Infinitybein,2024-04-04T09:49:21Z,0,Netflix good times trailer brought me here,True
@wilsonbrandon557,2024-04-03T02:11:48Z,0,How did I miss this movie?? I work too much! And yes I’m a black man with multiple jobs raising a family yes we really do exist lol but this is a must see movie!,True
@emmanueldalton1474,2024-04-02T10:08:11Z,0,From West World to American Fiction ... dope,True
@Hermetic_,2024-03-31T03:07:30Z,0,"I just watched it. The biggest joke in the film: All the black people living in greater Boston. Super unrealistic, but I suppose it’s part of the movies satire.",True
@Glorfendal,2024-03-30T21:54:07Z,0,"While this movie was good, I think the trailer doesn't represent it very well.

The author writing a fake book is made out to be the main plot point, which is hilarious and they should have written it around this. But, most of the movie is about the character dealing with personal and family issues.

It is by all means a good movie, but the parts shown here are basically all of the ""fake book and fake author"" parts.",True
@CalvinHikes,2024-03-28T05:47:29Z,1,"Bahahahahahahaha 
Beautiful",True
@dresosa9966,2024-03-28T02:42:41Z,2,Excellent Flick!!,True
@BaltoD60,2024-03-26T06:28:56Z,4,It's really two stories. Society and their expectations. And family and their expectations.,True
@Guitarorpheo,2024-03-25T15:07:55Z,1,"watched this movie last night. I highly, highly recommend watching this movie.",True
